lga_code20,lga_name20,lga_type20,area_sqkm,latitude,longitude
10050,Albury,C,305.9459,-36.0266039,146.9704242
10180,Armidale Regional,A,7809.4405,-30.36739527,151.8991055
10250,Ballina,A,484.9389,-28.85288636,153.4861474
10300,Balranald,A,21690.6753,-33.95035167,143.6116254
10470,Bathurst Regional,A,3817.8646,-33.43013885,149.5256337
10500,Bayside,A,49.8904,-33.94941119,151.1666971
10550,Bega Valley,A,6278.8811,-36.825943,149.7175695
10600,Bellingen,A,1600.4337,-30.40380234,152.7285907
10650,Berrigan,A,2065.7759,-35.7343272,145.7112161
10750,Blacktown,C,240.0487,-33.74132841,150.8643511
10800,Bland,A,8557.6535,-33.8943438,146.9612672
10850,Blayney,A,1524.647,-33.59433038,149.1420588
10900,Blue Mountains,C,1431.1442,-33.69754437,150.4111412
10950,Bogan,A,14599.8996,-31.53812906,146.8668728
11150,Bourke,A,41599.5072,-29.91056221,145.3568337
11200,Brewarrina,A,19163.4798,-29.79152528,146.9608806
11250,Broken Hill,C,170.1153,-31.94403572,141.4792679
11300,Burwood,A,7.1281,-33.88368622,151.103152
11350,Byron,A,565.8029,-28.6041666,153.4825052
11400,Cabonne,A,6022.3498,-33.15299771,148.754101
11450,Camden,A,201.0281,-34.00878227,150.724023
11500,Campbelltown (NSW),C,311.9111,-34.08334472,150.8457729
11520,Canada Bay,A,19.9233,-33.85349832,151.1148252
11570,Canterbury-Bankstown,A,110.2368,-33.92350772,151.0373203
11600,Carrathool,A,18934.4852,-33.60899281,145.4964251
11650,Central Coast (NSW),C,1681.0695,-33.30798976,151.2854876
11700,Central Darling,A,53492.1931,-31.85069805,143.5896917
11720,Cessnock,C,1965.1589,-32.92506814,151.2248999
11730,Clarence Valley,A,10428.6803,-29.68173808,152.751152
11750,Cobar,A,45575.3513,-31.86798135,145.4828503
11800,Coffs Harbour,C,1173.7437,-30.18903864,153.0398346
12000,Coolamon,A,2430.9037,-34.63253155,147.1048329
12150,Coonamble,A,9916.0536,-30.87054861,148.2916071
12160,Cootamundra-Gundagai Regional,A,3981.4173,-34.85297513,148.0941196
12350,Cowra,A,2808.7822,-33.79638331,148.7179503
12380,Cumberland,A,71.5511,-33.8425579,150.9876294
12390,Dubbo Regional,A,7534.5251,-32.42471665,148.8544108
12700,Dungog,A,2249.9983,-32.34956052,151.6082873
12730,Edward River,A,8883.4464,-35.17254445,144.9414719
12750,Eurobodalla,A,3428.1695,-35.94515651,149.9470494
12850,Fairfield,C,101.507,-33.86563441,150.8954167
12870,Federation,A,5685.0486,-35.49707178,146.2713645
12900,Forbes,A,4710.128,-33.42163169,147.867202
12930,Georges River,A,38.3459,-33.97103831,151.0863642
12950,Gilgandra,A,4831.5057,-31.61902662,148.690734
13010,Glen Innes Severn,A,5479.977,-29.6449864,151.9030425
13310,Goulburn Mulwaree,A,3220.0796,-34.87603956,149.8134914
13340,Greater Hume Shire,A,5749.5185,-35.75027791,147.1718381
13450,Griffith,C,1639.1728,-34.30041047,146.0035879
13550,Gunnedah,A,4987.0295,-31.04654568,150.1888897
13660,Gwydir,A,9259.6542,-29.59348105,150.5168095
13800,Hawkesbury,C,2775.1377,-33.33477884,150.773242
13850,Hay,A,11325.9324,-34.31586211,144.6837
13910,Hilltops,A,7140.8863,-34.35200991,148.5009575
14000,Hornsby,A,455.0375,-33.58393044,151.0894142
14100,Hunters Hill,A,5.7169,-33.83335184,151.145129
14170,Inner West,A,35.3713,-33.89150439,151.154974
14220,Inverell,A,9408.4666,-29.41855509,151.0750612
14300,Junee,A,2030.0222,-34.81720674,147.6688767
14350,Kempsey,A,3375.6707,-30.9515466,152.6447331
14400,Kiama,A,257.6636,-34.67887065,150.7562243
14500,Ku-ring-gai,A,85.4096,-33.7346102,151.1509083
14550,Kyogle,A,3584.1644,-28.61779555,152.7755806
14600,Lachlan,A,14968.2538,-32.9201084,146.9897079
14650,Lake Macquarie,C,648.6398,-33.0388571,151.5301821
14700,Lane Cove,A,10.4794,-33.81999351,151.1668953
14750,Leeton,A,1167.1877,-34.53237002,146.3020824
14850,Lismore,C,1287.7043,-28.7561747,153.2706555
14870,Lithgow,C,4512.2563,-33.27767475,150.1789561
14900,Liverpool,C,305.7396,-33.93597105,150.825207
14920,Liverpool Plains,A,5082.2397,-31.55061979,150.4384162
14950,Lockhart,A,2895.8049,-35.33127298,146.775438
15050,Maitland,C,391.5087,-32.71081374,151.5497557
15240,Mid-Coast,A,10053.8633,-32.01531579,152.0957578
15270,Mid-Western Regional,A,8752.259,-32.59381057,149.7424205
15300,Moree Plains,A,17906.5241,-29.25287699,149.6289457
15350,Mosman,A,8.6503,-33.8290817,151.2446351
15520,Murray River,A,11863.4771,-35.32472141,144.2116362
15560,Murrumbidgee,A,6880.7902,-34.94973445,145.7293646
15650,Muswellbrook,A,3404.884,-32.4399244,150.6302958
15700,Nambucca Valley,A,1491.3432,-30.68755665,152.7689379
15750,Narrabri,A,13014.9937,-30.35649139,149.564884
15800,Narrandera,A,4116.3459,-34.61125956,146.5796822
15850,Narromine,A,5261.5165,-32.22608912,148.065555
15900,Newcastle,C,186.7549,-32.88005757,151.6957072
15950,North Sydney,A,10.4857,-33.8329519,151.2118728
15990,Northern Beaches,A,254.2074,-33.69023672,151.2496703
16100,Oberon,A,3625.047,-33.88329141,149.8114008
16150,Orange,C,284.2157,-33.32466152,149.1203737
16200,Parkes,A,5957.6138,-32.88101137,147.9614228
16260,Parramatta,C,83.8294,-33.79934287,151.0293077
16350,Penrith,C,404.7016,-33.76537229,150.7180705
16380,Port Macquarie-Hastings,A,3682.3921,-31.40976047,152.5312109
16400,Port Stephens,A,858.4357,-32.72179516,151.8447221
16490,Queanbeyan-Palerang Regional,A,5318.8822,-35.42275637,149.6271786
16550,Randwick,C,36.3311,-33.94323893,151.2402095
16610,Richmond Valley,A,3047.3748,-29.05962733,153.0462816
16700,Ryde,C,40.4748,-33.79913878,151.1105623
16900,Shellharbour,C,147.4211,-34.58269234,150.7738685
16950,Shoalhaven,C,4566.6795,-35.09441823,150.3732861
17000,Singleton,A,4892.717,-32.66037848,150.964533
17040,Snowy Monaro Regional,A,15163.5461,-36.39645397,148.9589108
17080,Snowy Valleys,A,8959.0028,-35.73378456,148.2491906
17100,Strathfield,A,14.0009,-33.88042574,151.0764371
17150,Sutherland Shire,A,333.5933,-34.07513753,151.0510127
17200,Sydney,C,26.7429,-33.88936327,151.2027401
17310,Tamworth Regional,A,9884.3506,-30.89251696,150.9070581
17350,Temora,A,2802.016,-34.38793959,147.4836563
17400,Tenterfield,A,7322.793,-28.943838,152.0864322
17420,The Hills Shire,A,386.1588,-33.58826054,150.9620341
17550,Tweed,A,1307.6562,-28.3600007,153.3562683
17620,Upper Hunter Shire,A,8096.0892,-31.96925527,150.7265213
17640,Upper Lachlan Shire,A,7127.3957,-34.41772233,149.4556695
17650,Uralla,A,3226.5327,-30.50767559,151.3123292
17750,Wagga Wagga,C,4824.4889,-35.19661668,147.3663509
17850,Walcha,A,6261.0242,-31.16390199,151.7845287
17900,Walgett,A,22308.3848,-29.81665911,148.1944552
17950,Warren,A,10753.7673,-31.32565282,147.679844
18020,Warrumbungle Shire,A,12372.1201,-31.46280681,149.4053925
18050,Waverley,A,9.3507,-33.89005095,151.2668461
18100,Weddin,A,3414.8566,-33.87191332,148.0112433
18200,Wentworth,A,26256.2398,-33.57021125,142.2428801
18250,Willoughby,C,22.4258,-33.8010984,151.1963705
18350,Wingecarribee,A,2689.3413,-34.47693689,150.3562591
18400,Wollondilly,A,2555.434,-34.10194097,150.4437951
18450,Wollongong,C,683.986,-34.36879339,150.8371162
18500,Woollahra,A,12.2775,-33.87167499,151.2573923
18710,Yass Valley,A,3995.3257,-34.9542016,148.8849936
19399,Unincorporated NSW,,93214.1592,-30.65472049,142.2156911
19499,No usual address (NSW),,0,0,0
19799,Migratory - Offshore - Shipping (NSW),,0,0,0
20110,Alpine,S,4788.1568,-36.85356886,146.9741716
20260,Ararat,RC,4211.1171,-37.47270907,142.8431909
20570,Ballarat,C,739.0321,-37.49285356,143.7814706
20660,Banyule,C,62.5402,-37.73044097,145.0851409
20740,Bass Coast,S,865.8095,-38.50728862,145.5580557
20830,Baw Baw,S,4027.6287,-37.98399912,146.1315027
20910,Bayside,C,37.2111,-37.94183906,145.0181539
21010,Benalla,RC,2352.6397,-36.58700297,146.0237616
21110,Boroondara,C,60.1774,-37.81928627,145.0630891
21180,Brimbank,C,123.3991,-37.74755294,144.8033107
21270,Buloke,S,8000.4027,-35.91238555,143.0049303
21370,Campaspe,S,4518.8582,-36.3451923,144.716414
21450,Cardinia,S,1282.5678,-38.08301379,145.5726853
21610,Casey,C,409.4289,-38.10435017,145.3090109
21670,Central Goldfields,S,1532.7843,-37.00716246,143.7138406
21750,Colac-Otway,S,3437.4701,-38.45196091,143.5951818
21830,Corangamite,S,4407.4921,-38.20432331,143.1986512
21890,Darebin,C,53.4711,-37.73345861,145.0143331
22110,East Gippsland,S,20940.2326,-37.37801723,148.2916666
22170,Frankston,C,129.598,-38.1346082,145.1737988
22250,Gannawarra,S,3735.3353,-35.75158154,143.8042323
22310,Glen Eira,C,38.6906,-37.90120582,145.0426025
22410,Glenelg,S,6218.5734,-37.87049854,141.3857282
22490,Golden Plains,S,2703.3898,-37.88206522,143.8425111
22620,Greater Bendigo,C,2999.9721,-36.73444118,144.4226459
22670,Greater Dandenong,C,129.5469,-38.00558933,145.1900091
